candidate_id,rank,score,reasoning
CAND_0081846,1,1.21510470,"Razorpay role Lead AI Engineer; 6.7 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0041611,2,1.21246417,"6.4 years in the profile and currently Staff Machine Learning Engineer at Locobuzz, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: stale platform activity."
CAND_0086022,3,1.20475953,"Sarvam AI role Senior Applied Scientist; 5.3 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0046525,4,1.19021020,"Senior Machine Learning Engineer at Genpact AI, with 6.1 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0094759,5,1.18177799,"8.6 years in the profile and currently Lead AI Engineer at Meta, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: stale platform activity."
CAND_0077337,6,1.17409617,"Staff Machine Learning Engineer at Paytm, with 7.0 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 60-day notice period."
CAND_0046064,7,1.16992330,"8.9 years; Senior NLP Engineer at Salesforce, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0010685,8,1.16322400,"NLP Engineer at Rephrase.ai, with 6.7 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0005649,9,1.11761220,"Senior Data Scientist at Sarvam AI, with 7.4 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0080766,10,1.09822273,"Salesforce role Staff Machine Learning Engineer; 8.8 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0008425,11,1.08282680,"Senior NLP Engineer at Ola, with 7.8 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0018499,12,1.07636180,"7.2 years in the profile and currently Senior Machine Learning Engineer at Zomato, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0092278,13,1.05008283,"Microsoft role Senior NLP Engineer; 6.8 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 90-day notice period."
CAND_0060054,14,1.04002550,"Mad Street Den role AI Engineer; 6.4 years total, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Strong fit for the JD's hands-on product-and-evaluation mandate."
CAND_0030953,15,1.02652183,"Search Engineer at Nykaa, with 7.8 years of experience, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 45-day notice period."
CAND_0086151,16,1.01770270,"7.7 years in the profile and currently Recommendation Systems Engineer at Wysa, with career evidence across ranking and retrieval, production vector/search infrastructure, offline/online evaluation or A/B testing. Main concern: 120-day notice period."
